iso	country	year	eq_tr	r_eq_tr	housing_tr	r_housing_tr	dc
DNK	Denmark	2012	0.26642	0.23676	0.00093	-0.02251	0.001349322
DNK	Denmark	2013	0.30648	0.29625	0.07414	0.06573	-0.001377919
DNK	Denmark	2014	0.19768	0.19097	0.07226	0.06624	0.004010215
DNK	Denmark	2015	0.33986	0.33383	0.02788	0.02326	0.015605613
FIN	Finland	1950	0.83633	0.60145	0.16333	0.01453	
FIN	Finland	1951	0.13683	-0.02230	0.64490	0.41465	0.067609636
FIN	Finland	1952	-0.12834	-0.13695	0.45856	0.44415	0.051621271
FIN	Finland	1953	0.36808	0.34142	-0.02756	-0.04652	-0.030883992
FIN	Finland	1954	0.05449	0.05449	0.29835	0.29835	0.05815088
FIN	Finland	1955	0.60346	0.65165	0.10856	0.14188	0.073815548
FIN	Finland	1956	0.02389	-0.07757	0.20753	0.08788	0.031398431
FIN	Finland	1957	-0.15161	-0.23761	0.15883	0.04137	-0.029235979
FIN	Finland	1958	0.05865	-0.00692	0.09847	0.03044	-0.034740205
FIN	Finland	1959	0.43154	0.40978	0.28509	0.26555	0.064010336
FIN	Finland	1960	0.14853	0.11262	0.20817	0.17040	0.074294751
FIN	Finland	1961	-0.00779	-0.02540	0.12873	0.10870	0.069209337
FIN	Finland	1962	0.14489	0.09596	0.40019	0.34035	0.053290909
FIN	Finland	1963	0.04801	-0.00064	0.22310	0.16632	0.037084088
FIN	Finland	1964	0.08780	-0.01425	0.23753	0.12143	0.049621425
FIN	Finland	1965	-0.05769	-0.10098	0.27916	0.22039	0.052507282
FIN	Finland	1966	-0.06924	-0.10449	0.21842	0.17227	0.021751341
FIN	Finland	1967	-0.01287	-0.06551	0.15060	0.08924	0.015622997
FIN	Finland	1968	0.40422	0.28608	0.15784	0.06043	-0.003836554
FIN	Finland	1969	0.25863	0.23143	0.19302	0.16725	0.107910428
FIN	Finland	1970	0.24894	0.21572	0.11479	0.08514	0.079500523
FIN	Finland	1971	0.19758	0.12467	0.13490	0.06581	0.015500756
FIN	Finland	1972	0.70677	0.59298	0.18519	0.10617	0.077857595
FIN	Finland	1973	0.44167	0.29900	0.35261	0.21875	0.053816095
FIN	Finland	1974	-0.17428	-0.29228	0.29642	0.11116	0.012536351
FIN	Finland	1975	0.03365	-0.12262	0.14090	-0.03159	0.027027681
FIN	Finland	1976	-0.13385	-0.24249	0.15333	0.00867	0.008526831
FIN	Finland	1977	-0.11512	-0.21456	0.12179	-0.00427	-0.009328427
FIN	Finland	1978	0.19232	0.10607	0.12837	0.04675	0.017565638
FIN	Finland	1979	0.26251	0.17477	0.12979	0.05128	0.053213708
FIN	Finland	1980	0.04081	-0.06732	0.29406	0.15961	0.026298041
FIN	Finland	1981	0.23924	0.10639	0.24935	0.11541	0.008523534
FIN	Finland	1982	0.41609	0.29244	0.29283	0.17995	0.040693968
FIN	Finland	1983	0.68809	0.55778	0.27660	0.17805	0.026183614
FIN	Finland	1984	-0.02878	-0.09289	0.20448	0.12498	0.025404437
FIN	Finland	1985	0.16114	0.09678	0.11597	0.05412	0.031496738
FIN	Finland	1986	0.65665	0.60997	0.10584	0.07467	0.030704285
FIN	Finland	1987	0.31101	0.25960	0.19232	0.14556	0.046038773
FIN	Finland	1988	0.34797	0.28260	0.43122	0.36181	0.051061237
FIN	Finland	1989	-0.15490	-0.20747	0.27148	0.19239	0.050248928
FIN	Finland	1990	-0.30560	-0.34554	-0.01559	-0.07221	-0.016070314
FIN	Finland	1991	-0.19759	-0.22931	-0.09590	-0.13164	-0.043626385
FIN	Finland	1992	0.08006	0.05267	-0.11782	-0.14019	-0.045745239
FIN	Finland	1993	0.92862	0.88894	0.00962	-0.01115	-0.042697282
FIN	Finland	1994	0.17701	0.16436	0.15603	0.14360	0.020420015
FIN	Finland	1995	-0.06346	-0.07260	0.04739	0.03717	0.056490448
FIN	Finland	1996	0.50785	0.49920	0.15526	0.14864	0.032655289
FIN	Finland	1997	0.35157	0.33532	0.27534	0.26000	0.030982647
FIN	Finland	1998	0.72053	0.69763	0.17861	0.16293	0.039437763
FIN	Finland	1999	1.67038	1.63585	0.15969	0.14469	0.033465576
FIN	Finland	2000	-0.09294	-0.11895	0.12928	0.09690	0.027218341
